"GEOCODIGO_MUNICIPIO","NOME_MUNICIPIO","long_neg","lat_neg","Municipio_Codigo","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","long","lat"
"1300839","CAAPIRANGA","-61.211334","-3.330093","1300839 CAAPIRANGA","1","1","1","1","1","1","1","5","1","3","2","1","61.211334","3.330093"
"1300904","CANUTAMA","-64.394231","-6.529106","1300904 CANUTAMA","1","1","1","1","1","1","1","1","8","2","2","1","64.394231","6.529106"
"1301001","CARAUARI","-66.896635","-4.881666","1301001 CARAUARI","1","1","1","12","17","14","6","38","43","50","31","16","66.896635","4.881666"
"1301100","CAREIRO","-60.36381","-3.822447","1301100 CAREIRO","1","1","4","5","9","9","6","21","28","22","2","10","60.36381","3.822447"
"1301159","CAREIRO DA VÁRZEA","-59.826314","-3.197397","1301159 CAREIRO DA VÁRZEA","1","1","1","1","1","1","1","1","7","6","2","1","59.826314","3.197397"
"1301209","COARI","-63.142184","-4.084219","1301209 COARI","1","2","1","1","3","1","11","21","100","94","62","16","63.142184","4.084219"
"1301308","CODAJÁS","-62.06343","-3.843046","1301308 CODAJÁS","1","1","1","1","1","1","2","1","14","10","18","1","62.06343","3.843046"
"1301407","EIRUNEPÉ","-69.86629","-6.667353","1301407 EIRUNEPÉ","1","1","1","1","19","21","33","16","45","30","14","26","69.86629","6.667353"
"1301506","ENVIRA","-70.030413","-7.439818","1301506 ENVIRA","1","1","1","2","3","10","4","2","32","53","54","32","70.030413","7.439818"
"1301605","FONTE BOA","-66.096503","-2.512271","1301605 FONTE BOA","1","1","1","1","1","1","2","1","5","3","6","3","66.096503","2.512271"
"1301654","GUAJARÁ","-72.582431","-7.547774","1301654 GUAJARÁ","1","1","1","1","1","1","1","1","7","3","5","1","72.582431","7.547774"
"1301704","HUMAITÁ","-63.026698","-7.512225","1301704 HUMAITÁ","1","1","1","1","1","1","3","25","20","27","11","5","63.026698","7.512225"
"1301803","IPIXUNA","-71.694418","-7.05098","1301803 IPIXUNA","2","13","1","3","7","1","1","4","5","6","7","1","71.694418","7.05098"
"1301852","IRANDUBA","-60.193388","-3.281054","1301852 IRANDUBA","1","1","1","3","3","39","29","22","34","27","23","23","60.193388","3.281054"
"1301902","ITACOATIARA","-58.440175","-3.140379","1301902 ITACOATIARA","1","1","9","13","15","34","12","38","50","54","40","29","58.440175","3.140379"
"1301951","ITAMARATI","-68.247917","-6.437799","1301951 ITAMARATI","1","1","1","1","3","2","2","5","18","2","3","1","68.247917","6.437799"
"1302009","ITAPIRANGA","-58.034546","-2.741843","1302009 ITAPIRANGA","1","4","1","1","1","1","1","1","3","1","1","4","58.034546","2.741843"
"1302108","JAPURÁ","-66.996903","-1.880845","1302108 JAPURÁ","1","8","1","1","1","1","2","1","2","1","1","1","66.996903","1.880845"
"1302207","JURUÁ","-66.063042","-3.47489","1302207 JURUÁ","1","1","3","1","8","2","4","2","7","5","1","1","66.063042","3.47489"
"1302306","JUTAÍ","-66.771328","-2.744646","1302306 JUTAÍ","3","1","6","1","4","1","16","5","26","7","13","5","66.771328","2.744646"
"1302405","LÁBREA","-64.794773","-7.261947","1302405 LÁBREA","1","1","7","3","2","5","6","1","27","37","21","6","64.794773","7.261947"
"1302504","MANACAPURU","-60.620589","-3.298278","1302504 MANACAPURU","2","3","1","19","13","17","22","9","40","79","34","27","60.620589","3.298278"
